bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,tags
20323,The-Penguin-Companion-to-European-Literature,Anthony-Thorlby,4.5,0140510354,9780140510355,eng,907,1,0,5/30/1969,Penguin-Books,20323 the-penguin-companion-to-european-literature anthony-thorlby 4.5 0140510354 9780140510355 eng 907 1 0 5/30/1969 penguin-books
20327,West-To-Eden,Gloria-Goldreich,3.77,0380706016,9780380706013,eng,501,2,0,12/1/1988,Avon-Books,20327 west-to-eden gloria-goldreich 3.77 0380706016 9780380706013 eng 501 2 0 12/1/1988 avon-books
20343,The-Various,Steve-Augarde,3.71,0440420296,9780440420293,eng,448,825,98,11/8/2005,Yearling,20343 the-various steve-augarde 3.71 0440420296 9780440420293 eng 448 825 98 11/8/2005 yearling
20351,Truman-Capote:-In-Which-Various-Friends--Enemies--Acquaintances--and-Detractors-Recall-His-Turbulent-Career,George-Plimpton,4.08,0385491735,9780385491730,eng,498,908,56,11/10/1998,Anchor,20351 truman-capote:-in-which-various-friends--enemies--acquaintances--and-detractors-recall-his-turbulent-career george-plimpton 4.08 0385491735 9780385491730 eng 498 908 56 11/10/1998 anchor
20355,The-Burnt-Orange-Heresy,Charles-Willeford,3.9,0786706686,9780786706686,eng,144,564,49,12/20/1999,Carroll-&-Graf,20355 the-burnt-orange-heresy charles-willeford 3.9 0786706686 9780786706686 eng 144 564 49 12/20/1999 carroll-&-graf
20367,Ewan-McGregor:-From-Junkie-to-Jedi,Brian-J.-Robb,2.8,0859652769,9780859652766,eng,144,10,1,5/5/1999,Plexus-Publishing,20367 ewan-mcgregor:-from-junkie-to-jedi brian-j.-robb 2.8 0859652769 9780859652766 eng 144 10 1 5/5/1999 plexus-publishing
20381,Shadow-Twin,Gardner-Dozois/George-R.R.-Martin/Daniel-Abraham,3.57,1596060298,9781596060296,eng,114,65,7,6/1/2005,Subterranean-Press,20381 shadow-twin gardner-dozois/george-r.r.-martin/daniel-abraham 3.57 1596060298 9781596060296 eng 114 65 7 6/1/2005 subterranean-press
20394,Der-Prophet,Kahlil-Gibran,4.23,3530268038,9783530268034,ger,95,9,0,9/1/2001,Benziger,20394 der-prophet kahlil-gibran 4.23 3530268038 9783530268034 ger 95 9 0 9/1/2001 benziger
20398,Le-prophète,Kahlil-Gibran,4.23,2844541844,9782844541840,fre,172,1,0,10/8/2002,Dervy,20398 le-prophète kahlil-gibran 4.23 2844541844 9782844541840 fre 172 1 0 10/8/2002 dervy
20408,The-Complete-Stories-of-Robert-Louis-Stevenson:-Strange-Case-of-Dr.-Jekyll-and-Mr.-Hyde-and-Nineteen-Other-Tales,Robert-Louis-Stevenson/Barry-Menikoff,4.13,0375761357,9780375761355,eng,818,439,12,10/8/2002,Modern-Library,20408 the-complete-stories-of-robert-louis-stevenson:-strange-case-of-dr.-jekyll-and-mr.-hyde-and-nineteen-other-tales robert-louis-stevenson/barry-menikoff 4.13 0375761357 9780375761355 eng 818 439 12 10/8/2002 modern-library
20410,The-Complete-Short-Stories-Of-Robert-Louis-Stevenson:-With-A-Selection-Of-The-Best-Short-Novels,Robert-Louis-Stevenson/Charles-Neider,4.21,030680882X,9780306808821,eng,720,52,12,8/22/1998,Da-Capo-Press,20410 the-complete-short-stories-of-robert-louis-stevenson:-with-a-selection-of-the-best-short-novels robert-louis-stevenson/charles-neider 4.21 030680882x 9780306808821 eng 720 52 12 8/22/1998 da-capo-press
20413,A-Child's-Garden-of-Verses,Robert-Louis-Stevenson/Tasha-Tudor,4.3,0689823827,9780689823824,eng,67,22227,431,2/1/1999,Simon-&-Schuster-Books-for-Young-Readers,20413 a-child's-garden-of-verses robert-louis-stevenson/tasha-tudor 4.3 0689823827 9780689823824 eng 67 22227 431 2/1/1999 simon-&-schuster-books-for-young-readers
20417,Have-Space-Suit—Will-Travel,Robert-A.-Heinlein,3.9,1416505490,9781416505495,eng,276,23541,661,2/8/2005,Pocket-Books,20417 have-space-suit—will-travel robert-a.-heinlein 3.9 1416505490 9781416505495 eng 276 23541 661 2/8/2005 pocket-books
20420,Practicalities,Marguerite-Duras/Barbara-Bray,3.98,0802133118,9780802133113,eng,143,226,19,10/22/1993,Grove-Press,20420 practicalities marguerite-duras/barbara-bray 3.98 0802133118 9780802133113 eng 143 226 19 10/22/1993 grove-press
20422,Le-ravissement-de-Lol-V.-Stein,Marguerite-Duras,3.66,2070368106,9782070368105,fre,192,485,38,6/25/1976,Gallimard,20422 le-ravissement-de-lol-v.-stein marguerite-duras 3.66 2070368106 9782070368105 fre 192 485 38 6/25/1976 gallimard
20423,India-Song,Marguerite-Duras/Barbara-Bray,3.57,0802131352,9780802131355,eng,146,289,9,1/13/1994,Grove-Press,20423 india-song marguerite-duras/barbara-bray 3.57 0802131352 9780802131355 eng 146 289 9 1/13/1994 grove-press
20424,Clown,Quentin-Blake,3.98,0805059334,9780805059335,en-US,32,384,47,9/15/1998,Henry-Holt-and-Co.-(BYR),20424 clown quentin-blake 3.98 0805059334 9780805059335 en-us 32 384 47 9/15/1998 henry-holt-and-co.-(byr)
20425,The-Spiral-Stair-(Arabel-and-Mortimer--#6),Joan-Aiken/Quentin-Blake,4.33,1903015073,9781903015070,eng,62,35,5,8/1/2000,Barn-Owl-Books,20425 the-spiral-stair-(arabel-and-mortimer--#6) joan-aiken/quentin-blake 4.33 1903015073 9781903015070 eng 62 35 5 8/1/2000 barn-owl-books
20429,A-Near-Thing-for-Captain-Najork-(Captain-Najork-#2),Russell-Hoban/Quentin-Blake,4.18,1567923232,9781567923230,eng,32,76,11,10/1/2006,David-R.-Godine,20429 a-near-thing-for-captain-najork-(captain-najork-#2) russell-hoban/quentin-blake 4.18 1567923232 9781567923230 eng 32 76 11 10/1/2006 david-r.-godine
20468,Cover-Her-Face-(Adam-Dalgliesh-#1),P.D.-James/Neville-Teller/Robin-Ellis/Sian-Phillips/Hugh-Grant,3.93,0563528273,9780563528272,eng,2,17,4,5/7/2002,BBC-Physical-Audio,20468 cover-her-face-(adam-dalgliesh-#1) p.d.-james/neville-teller/robin-ellis/sian-phillips/hugh-grant 3.93 0563528273 9780563528272 eng 2 17 4 5/7/2002 bbc-physical-audio
